InputID,TargetID,Distance
64139,Power and Light,20926.37905
64139,The Legands,40590.70194
64139,Lee's Summit,6223.062049
64132,Airport (MCI),38171.69664
64132,The Plaza,7764.768176
64132,Power and Light,13094.45337
64132,The Legands,29543.76257
64132,Lee's Summit,15574.94619
64068,Airport (MCI),28598.77805
64068,The Plaza,29708.88015
64068,Power and Light,24249.36085
64068,The Legands,40936.12921
64068,Lee's Summit,38194.30456
64484,Airport (MCI),38553.07043
64484,The Plaza,67972.69274
64484,Power and Light,63329.58259
64484,The Legands,50709.77743
64484,Lee's Summit,89890.20998
64163,Airport (MCI),4746.511199
64163,The Plaza,33747.7801
64163,Power and Light,28002.705
64163,The Legands,26628.00625
64163,Lee's Summit,53723.27677
64012,Airport (MCI),58518.22296
64012,The Plaza,28326.12629
64012,Power and Light,34488.83715
64012,The Legands,44341.28258
64012,Lee's Summit,20211.38947
64158,Airport (MCI),21883.01177
64158,The Plaza,23522.77537
64158,Power and Light,17515.8519
64158,The Legands,32886.43616
64158,Lee's Summit,36421.9244
64133,Airport (MCI),38941.36449
64133,The Plaza,12093.6348
64133,Power and Light,14291.56116
64133,The Legands,34601.97839
64133,Lee's Summit,12663.32156
64150,Airport (MCI),16250.07585
64150,The Plaza,14609.82243
64150,Power and Light,9011.387529
64150,The Legands,18120.90097
64150,Lee's Summit,35462.76071
64114,Airport (MCI),39394.61459
64114,The Plaza,9383.602592
64114,Power and Light,15715.19426
64114,The Legands,27379.2725
64114,Lee's Summit,19072.09852
64128,Airport (MCI),30467.82123
64128,The Plaza,5561.314741
64128,Power and Light,5461.932288
64128,The Legands,26442.5439
64128,Lee's Summit,21186.50029
64779,Airport (MCI),136889.7884
64779,The Plaza,106775.8548
64779,Power and Light,112851.3144
64779,The Legands,120480.6817
64779,Lee's Summit,91378.18445
64097,Airport (MCI),66098.82636
64097,The Plaza,52525.32876
64097,Power and Light,51022.23999
64097,The Legands,72629.06371
64097,Lee's Summit,40436.25003
64077,Airport (MCI),50696.86512
64077,The Plaza,43970.56759
64077,Power and Light,40606.9403
64077,The Legands,60819.76772
64077,Lee's Summit,40167.12609
64090,Airport (MCI),76774.10713
64090,The Plaza,48579.72861
64090,Power and Light,52192.43809
64090,The Legands,70549.07158
64090,Lee's Summit,25731.37462
